text,label_text,label
"The Samsung Mobile Applications Store was launched in January 2009 by Samsung Mobile Innovator , a program which enables mobile software developers to create applications for use across Samsung mobile devices .",neutral,1
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced results from its annual Online Wellbeing Survey .",neutral,1
"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,1
The company reported net sales of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .,neutral,1
Microsoft last week also issued the first patch for the Windows 7 operating system beta it had released days earlier .,neutral,1
`` Marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,neutral,1
"Following the demerger , the vice president of the group 's pharmaceutical trade in Finland , Jukka Niemi , will be appointed managing director of Oriola in addition to his current responsibilities .",neutral,1
"The subject of the project is provide to the company like : Software programming and consultancy services , Computer-related services , Data services , Computer support and consultancy services , Internet services etc. .",neutral,1
"Savon koulutuskuntayhtyma , Finland based company has awarded contract for specialist agricultural or forestry machinery .",positive,2
"Finnish Bank of +àland reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative,0
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,1
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",positive,2
"Through the Nordic Exchange , OMX offers access to approximately 80 percent of the Nordic and Baltic securities market .",neutral,1
"Originally posted to the PCMag.com security blog , Security Watch .",neutral,1
"The Filter Tips cover the volume range from 0.1-1200 -Ál including new sizes for 10 , 20 , 100-120 , 200 , 300 , 1000 and 1200 -Ál volume capacities .",neutral,1
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral,1
"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative,0
Investment management and investment advisory services are the company 's sole line of business .,neutral,1
That would be an increase from estimated sales of 117 million last year .,positive,2
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,positive,2
Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .,positive,2
Finnish silicon wafer technology company Okmetic Oyj OMX Helsinki : OKM1V said on Wednesday 17 September that it will invest EUR6m in its sensor wafer business during 2009 .,neutral,1
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,neutral,1
"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",positive,2
"Its customers include local companies Slo Oy , Kiilto Oy , Toptronics Oy , Normark Suomi Oy , Pellonpaja Oy and Mansner Oy .",neutral,1
Total operating revenue grew by 27.6 % year-on-year to EUR61m .,positive,2
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,neutral,1
"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,2
"Net interest income was EUR 39.3 mn , up from EUR 32.7 mn .",positive,2
No financial details of the deployment were disclosed .,neutral,1
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,neutral,1
Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,1
Exel is headquartered in Mantyharju in Finland .,neutral,1
Sports equipment sales also progressed well owing to the prolonged winter season .,positive,2
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,2
"Thus the method will cut working costs , and will fasten the planning and building processes .",positive,2
Finnish media group Talentum has issued a profit warning .,negative,0
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,neutral,1
"The fixed-term contract of Mr. Jarmo Ukonaho , the current General Manager of Incap 's Indian operations , will finish by the end of the year .",neutral,1
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral,1
"Product coverage : baked goods ; biscuits ; breakfast cereals Data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",neutral,1
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive,2
"At the moment , there are approximately 20 Vianor sales offices in Russia .",neutral,1
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",negative,0
The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,2
No financial information was provided .,neutral,1
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,2
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,0
The Oxyview Pulse Oximeter is a common device to check patient blood-oxygen saturation level and pulse rate .,neutral,1
- Counter your competitor 's strengths and target their weaknesses .,neutral,1
"May 29 , 2010 ( CompaniesandMarkets.com delivered by Newstex ) -- This report provides key data and information on the meat , fish and poultry market in Finland .",neutral,1
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",neutral,1
"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",positive,2
"After the split , the company would have 26,885,540 Series A shares and 9,540,000 Series K shares .",neutral,1
Mr. Koistinen joins from Nokia Siemens Networks where he has held various senior sales management and business development positions since 1997 .,neutral,1
"The record date for dividend distribution is March 14 , 2008 .",neutral,1
`` The trend in the sports and leisure markets was favorable in the first months of the year .,positive,2
"The figure includes the change in the fair value of the property portfolio , EUR 26.2 million .",neutral,1
"( ADP News ) - Sep 30 , 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian te",positive,2
Comptel Corporation will publish its financial statements for 2008 on 12 February 2009 .,neutral,1
"Harold W. Young is an independent broker working closely with several retailers including Ahold USA , Market Basket , CVS , BJ 's Wholesale Club , Hannaford and Cumberland Farms .",neutral,1
L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 .,negative,0
The medium-term operative targets of the company remain unchanged .,neutral,1
Halonen 's office acknowledged receiving the letter but declined comment .,neutral,1
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral,1
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral,1
Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive,2
The value of the order is USD 2.2 mn .,neutral,1
The Group also has a strong global position in other fishing categories .,positive,2
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",neutral,1
"In addition , MIDs are always online and enable full Internet browsing .",neutral,1
No financial details were disclosed .,neutral,1
Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,positive,2
"The total size of the complex is around 25,000 m2 and the project will be constructed in stages .",neutral,1
Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 .,negative,0
"The building will house , for example , Respecta Oy 's Jyvaskyla premises , as well as other companies to be announced later , says Samuel Koivisto , Director of Technopolis operations in Jyvaskyla .",neutral,1
"The portfolio comprises of 118,000 m2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the Swedish government and Ericsson .",neutral,1
"Net profit in the three months through March 31 fell to (  x20ac ) 103 million ( US$ 165 million ) from (  x20ac ) 131 million a year earlier , the Finnish company said .",negative,0
"Operating profit , excluding non-recurring items , totalled EUR 2.2 mn , down from EUR 2.7 mn in the corresponding period in 2008 .",negative,0
Coffee will be served starting at 14:30 EET as well as after the event .,neutral,1
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive,2
The appointments will be in force until the new CEO has been appointed .,neutral,1
"Prior to the transaction , whose financial terms have not been disclosed , Alma Media owned 40 % of Kotikokki net .",neutral,1
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",neutral,1
"This location makes the mall a convenient place to shop for consumers from three large residential areas nearby : Jaroszowka , Wysockiego and Zgody .",positive,2
"ADPnews - Dec 23 , 2009 - Norwegian financial services group SpareBank 1 Gruppen AS OSL : SBGRP said its board of directors appointed today Jarle Haug managing director of its claims collection subsidiary SpareBank 1 Gruppen Finans",neutral,1
Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn .,positive,2
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral,1
The report will be emailed within 2 business days of an order .,neutral,1
Terms of the acquisition were not disclosed .,neutral,1
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,neutral,1
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",neutral,1
"`` BasWare 's product sales grew strongly in the financial period , by 24 percent .",positive,2
"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",positive,2
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",negative,0
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,negative,0
Talentum 's net sales in September were smaller than expected .,negative,0
"The major breweries increased their domestic beer sales by 4.5 per cent last year , to 256.88 million litres from 245.92 million litres in 2004 .",positive,2
The terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 March 2003 .,neutral,1
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,neutral,1
"In addition , the Kazakh delegation will visit Finland 's SITRA investment fund , Honkarakenne Ltd and Nokia headquarters to study TeliaSonera Ltd JSC 's activities .",neutral,1
The divested stake represented about 2.7 m shares in Okmetic 's capital .,neutral,1
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",neutral,1
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ó ??",negative,0
The energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,neutral,1
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,0
"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",positive,2
"The payment date is March 25 , 2010 .",neutral,1
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,2
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",neutral,1
Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg .,neutral,1
Net profit was 35.5 mln compared with 29.8 mln .,positive,2
The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 .,neutral,1
Productional situation has now improved .,positive,2
"As with other stakeholders , COMPTEL has been involved in the workshops , meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .",neutral,1
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",negative,0
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .",neutral,1
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral,1
"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",neutral,1
Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 .,positive,2
"The company said that 80 % of the shares of the holding company will be sold to Meadville Holdings Limited , a Hong Kong listed parent company of the Meadville Group .",neutral,1
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",negative,0
"UPM-Kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",neutral,1
11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,negative,0
The phones are targeted at first time users in growth markets .,neutral,1
Finnish food industry company L+ñnnen Tehtaat is planning changes to its fish product business .,neutral,1
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",neutral,1
"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,1
Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 .,positive,2
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",neutral,1
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",neutral,1
"EXEL COMPOSITES IN BRIEF Exel Composites is a technology company which designs , manufactures and markets composite profiles and tubes for industrial applications .",neutral,1
Sales increased due to growing market rates and increased operations .,positive,2
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,2
"561,470 new shares under 2003 option rights plan Packaging company Huhtamaki Oyj reported on Monday that a total of 561,470 new shares of the company have been issued based on share subscriptions under its 2003 option rights plan .",neutral,1
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,neutral,1
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,1
"`` After a long , unprofitable period the Food Division posted a profitable result , which speaks of a healthier cost structure and a new approach in business operations , '' Rihko said .",positive,2
Financial terms were n't disclosed .,neutral,1
"U.S.-based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .",neutral,1
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",neutral,1
"The company was supposed to deliver machinery to a veneer mill in the Tomsk region , in Russia .",neutral,1
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",neutral,1
"Metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",positive,2
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,neutral,1
"Currently it operates a fleet of eight carriers , as well as nine pushers and barges .",neutral,1
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,1
All YIT Capital Markets Day materials will be available on the company 's Internet site at www.yitgroup.com/investors at 10:30 on September 26 .,neutral,1
"The manufacture of CPPs will be undertaken at the existing Export Oriented Unit EOU at Wartsila 's factory at Khopoli , near Mumbai .",neutral,1
Sales of mid-strength beer decreased by 40 % .,negative,0
"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",neutral,1
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",neutral,1
"Tieto 's service is also used to send , process and receive materials related to absentee voting .",neutral,1
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral,1
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,2
"LONDON AFX - UK and European brokers ' recommendations issued today , as collated by AFX News from a range of market sources .",neutral,1
"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",neutral,1
